측정일시,SO2,CO,O3,NO2,PM10,PM25
2021100506,0.00116,0.26,0.0303,0.00809,28.8,10.7
2021100507,0.00126,0.2666666666666667,0.0273,0.01162,30.6,9.5
2021100508,0.00126,0.31,0.0257,0.014960000000000001,31.3,11.8
2021100509,0.00167,0.31,0.0344,0.01378,34.6,13.4
2021100510,0.00178,0.3,0.0412,0.01183,31.9,11.5
2021100511,0.00218,0.27,0.044700000000000004,0.00859,29.9,11.6
2021100512,0.0018700000000000001,0.27,0.046200000000000005,0.00686,31.5,9.9
2021100513,0.00176,0.2777777777777778,0.045,0.00703,32.9,9.5
2021100514,0.00136,0.27,0.0441,0.0063100000000000005,31.5,10.3
2021100515,0.00136,0.28,0.044,0.00643,31.9,9.9
2021100516,0.00136,0.28,0.04190000000000001,0.00683,30.5,10.7
2021100517,0.00138,0.28,0.0411,0.00771,29.3,9.3
2021100518,0.00148,0.28,0.0377,0.00877,31.9,9.2
2021100519,0.0015600000000000002,0.3333333333333333,0.0324,0.01214,32.5,9.8
2021100520,0.00136,0.3,0.027899999999999998,0.01245,33.7,10.5
2021100521,0.00106,0.3,0.0223,0.011550000000000001,31.9,11.8
2021100522,0.0010500000000000002,0.29,0.0229,0.010530000000000001,28.8,11.7
2021100523,0.0010500000000000002,0.28,0.0229,0.00999,25.666666666666668,10.1
2021100524,0.0010500000000000002,0.25,0.024399999999999998,0.00857,25.6,8.9
2021100601,0.00125,0.26666666666666666,0.0243,0.008060000000000001,23.9,8.5
2021100602,0.00115,0.23000000000000004,0.0264,0.00617,22.7,8.6
2021100603,0.0010500000000000002,0.24,0.0261,0.0059299999999999995,23.7,8.8
2021100604,0.0010500000000000002,0.25,0.0251,0.0060999999999999995,22.0,9.3
2021100605,0.0010500000000000002,0.23000000000000004,0.0253,0.00603,22.2,8.3
2021100606,0.0010500000000000002,0.23000000000000004,0.0236,0.0076100000000000004,23.5,9.7
2021100607,0.0010500000000000002,0.30000000000000004,0.0221,0.009819999999999999,26.0,10.4
2021100608,0.00126,0.27,0.0224,0.01138,30.2,11.3
2021100609,0.00116,0.28,0.030199999999999998,0.00932,29.0,11.2
2021100610,0.0013700000000000001,0.26,0.0375,0.0070599999999999994,30.9,13.555555555555555
2021100611,0.00167,0.27999999999999997,0.042499999999999996,0.00701,32.9,13.7
2021100612,0.0018700000000000001,0.29,0.0522,0.00689,33.77777777777778,15.0
2021100613,0.0025700000000000002,0.3333333333333333,0.062,0.007430000000000001,37.888888888888886,20.0
2021100614,0.00159,0.3,0.055700000000000006,0.00689,39.55555555555556,16.22222222222222
2021100615,0.00151,0.31,0.0534,0.007980000000000001,35.3,14.8
2021100616,0.00147,0.28,0.0533,0.00658,36.4,15.1
2021100617,0.0015600000000000002,0.28,0.0518,0.0063100000000000005,33.6,16.3
2021100618,0.00136,0.27,0.0489,0.007299999999999999,33.7,13.6
2021100619,0.00146,0.3333333333333333,0.047099999999999996,0.00832,34.4,15.7
2021100620,0.00125,0.3,0.0453,0.0083,33.1,15.6
2021100621,0.00106,0.28,0.043,0.008409999999999999,32.9,14.7
2021100622,0.00106,0.29,0.0398,0.00851,31.2,14.9
2021100623,0.0010500000000000002,0.29,0.0371,0.00808,29.1,13.6
2021100624,0.0010500000000000002,0.26,0.0353,0.00829,31.8,14.0
2021100701,0.0010500000000000002,0.2666666666666667,0.0355,0.00688,26.333333333333332,14.0
2021100702,0.0010500000000000002,0.26,0.0344,0.00645,26.666666666666668,13.4
2021100703,0.00095,0.24,0.034,0.00655,25.625,13.2
2021100704,0.0010500000000000002,0.24,0.0344,0.0062,26.22222222222222,12.4
2021100705,0.00115,0.25,0.0345,0.006659999999999999,28.11111111111111,14.4
2021100706,0.00115,0.24000000000000005,0.0333,0.00754,28.88888888888889,14.1
2021100707,0.0010500000000000002,0.2777777777777778,0.029699999999999997,0.01099,26.0,12.9
2021100708,0.00136,0.27,0.0308,0.013900000000000001,31.11111111111111,15.6
2021100709,0.0012699999999999999,0.28,0.039900000000000005,0.01106,35.44444444444444,15.9
2021100710,0.00147,0.28,0.0486,0.00804,33.111111111111114,14.9
2021100711,0.00147,0.28,0.0509,0.00808,33.888888888888886,14.6
2021100712,0.00166,0.28,0.05450000000000001,0.00735,30.88888888888889,13.2
2021100713,0.00147,0.2777777777777778,0.057199999999999994,0.006019999999999999,29.22222222222222,12.6
2021100714,0.00147,0.27,0.058499999999999996,0.00557,29.88888888888889,13.1
2021100715,0.00178,0.28,0.05789999999999999,0.00701,28.88888888888889,14.5
2021100716,0.0015699999999999998,0.27,0.058499999999999996,0.006279999999999999,28.444444444444443,13.0
2021100717,0.0015699999999999998,0.2777777777777778,0.055799999999999995,0.00803,28.88888888888889,13.2
2021100718,0.0015699999999999998,0.27,0.0529,0.00875,28.3,13.4
2021100719,0.0015600000000000002,0.30000000000000004,0.0458,0.01129,30.2,13.0
2021100720,0.00136,0.28,0.0368,0.01216,33.2,16.5
2021100721,0.00126,0.28,0.0305,0.012,31.7,17.8
2021100722,0.0013700000000000001,0.28,0.029600000000000005,0.01106,31.3,16.6
2021100723,0.00116,0.27,0.0303,0.01033,29.0,15.6
2021100724,0.00126,0.24,0.0313,0.00833,25.7,14.0
2021100801,0.0012699999999999999,0.24444444444444446,0.0341,0.00719,25.3,12.9
2021100802,0.00116,0.25,0.0355,0.00649,26.4,14.0
2021100803,0.00115,0.23000000000000004,0.0348,0.00629,26.6,15.4
2021100804,0.00116,0.24,0.0363,0.00603,25.7,16.9
2021100805,0.00116,0.23000000000000004,0.0374,0.00562,25.7,14.8
2021100806,0.00126,0.25,0.036,0.00711,26.8,15.0
2021100807,0.0012699999999999999,0.26666666666666666,0.0349,0.00888,30.8,18.0
2021100808,0.0013700000000000001,0.28,0.034,0.011179999999999999,30.7,16.7
2021100809,0.00169,0.3,0.0403,0.00933,31.9,16.5
2021100810,0.0018100000000000002,0.27,0.0467,0.00692,28.88888888888889,16.3
2021100811,0.0016,0.27,0.0498,0.00711,31.9,16.8
2021100812,0.0016799999999999999,0.26,0.0529,0.006719999999999999,32.2,14.8
2021100813,0.0016799999999999999,0.2777777777777778,0.05550000000000001,0.00552,31.8,16.8
2021100814,0.0016799999999999999,0.26,0.055400000000000005,0.00561,32.4,15.2
2021100815,0.0015800000000000002,0.27,0.05550000000000001,0.0057599999999999995,29.2,15.1
2021100816,0.0018700000000000001,0.27,0.055200000000000006,0.00645,31.7,15.9
2021100817,0.0019,0.27,0.0551,0.007150000000000001,30.8,18.4
2021100818,0.00182,0.28,0.055999999999999994,0.00643,33.6,17.5
2021100819,0.0018000000000000002,0.3111111111111111,0.0489,0.00944,37.4,19.3
2021100820,0.00169,0.29,0.045200000000000004,0.01029,38.6,22.444444444444443
2021100821,0.0016799999999999999,0.29,0.0477,0.008799999999999999,36.1,21.77777777777778
2021100822,0.00159,0.29,0.0498,0.00807,35.4,21.666666666666668
2021100823,0.0015800000000000002,0.31,0.0506,0.00757,37.6,22.0
2021100824,0.00169,0.3,0.051000000000000004,0.00648,35.7,20.666666666666668
2021100901,0.00149,0.30000000000000004,0.0475,0.00625,34.1,20.77777777777778
2021100902,0.00128,0.26,0.0456,0.0058200000000000005,32.7,19.11111111111111
2021100903,0.00148,0.26,0.0461,0.00504,35.2,19.444444444444443
2021100904,0.0013700000000000001,0.26,0.0453,0.00577,32.7,19.0
2021100905,0.0013700000000000001,0.25,0.0445,0.00605,33.2,18.0
2021100906,0.00126,0.29,0.0449,0.00608,31.8,18.333333333333332
2021100907,0.0014500000000000001,0.30000000000000004,0.043,0.006320000000000001,31.1,16.77777777777778
2021100908,0.00115,0.2888888888888889,0.0379,0.007090000000000001,28.0,15.88888888888889
2021100909,0.00115,0.2888888888888889,0.034600000000000006,0.00921,23.2,13.0
2021100910,0.00095,0.27,0.0345,0.0089,23.555555555555557,14.666666666666666
2021100911,0.0009600000000000001,0.3,0.0346,0.00858,24.77777777777778,12.666666666666666
2021100912,0.00106,0.3,0.035,0.008790000000000001,25.666666666666668,13.666666666666666
2021100913,0.00136,0.3333333333333333,0.03788888888888889,0.00861,28.77777777777778,14.11111111111111
2021100914,0.00169,0.31,0.043888888888888894,0.00876,32.0,16.333333333333332
2021100915,0.00172,0.31,0.050333333333333334,0.00694,38.1,20.666666666666668
2021100916,0.0017000000000000001,0.32999999999999996,0.050888888888888886,0.00655,40.5,20.333333333333332
2021100917,0.0017000000000000001,0.31999999999999995,0.05088888888888889,0.007339999999999999,40.9,21.75
2021100918,0.00159,0.3333333333333333,0.05222222222222222,0.00805,42.4,21.77777777777778
2021100919,0.00147,0.3875,0.04555555555555555,0.009479999999999999,40.3,21.444444444444443
2021100920,0.0013700000000000001,0.35555555555555557,0.03911111111111111,0.010870000000000001,40.666666666666664,22.444444444444443
2021100921,0.0012699999999999999,0.3222222222222222,0.03922222222222222,0.00888,36.2,21.22222222222222
2021100922,0.00147,0.3222222222222222,0.035666666666666666,0.00891,34.8,21.444444444444443
2021100923,0.00146,0.3111111111111111,0.035111111111111114,0.00781,31.9,19.666666666666668
2021100924,0.0015600000000000002,0.3111111111111111,0.03322222222222222,0.0076100000000000004,31.8,18.0
2021101001,0.0013700000000000001,0.325,0.031000000000000003,0.006619999999999999,31.0,15.88888888888889
2021101002,0.00149,0.2777777777777778,0.028,0.0062,28.9,17.0
2021101003,0.0016,0.2888888888888889,0.027444444444444445,0.006719999999999999,28.7,13.666666666666666
2021101004,0.0017000000000000001,0.30000000000000004,0.027666666666666666,0.0057,28.4,15.444444444444445
2021101005,0.00182,0.2777777777777778,0.028444444444444446,0.006279999999999999,27.6,14.11111111111111
2021101006,0.00202,0.26666666666666666,0.029,0.006220000000000001,27.9,14.444444444444445
2021101007,0.00189,0.325,0.025222222222222222,0.00927,26.7,14.666666666666666
2021101008,0.00179,0.3111111111111111,0.025,0.01067,29.4,16.444444444444443
2021101009,0.0019200000000000003,0.3111111111111111,0.029555555555555557,0.0104,28.9,15.11111111111111
2021101010,0.00232,0.32,0.0342,0.0092,28.0,14.3
2021101011,0.0018000000000000002,0.29,0.0355,0.00728,26.3,12.3
2021101012,0.00179,0.3,0.035699999999999996,0.00603,22.666666666666668,8.5
2021101013,0.001988888888888889,0.325,0.035666666666666666,0.007,20.88888888888889,8.88888888888889
2021101014,0.0017666666666666668,0.2888888888888889,0.036111111111111115,0.005755555555555555,21.11111111111111,8.555555555555555
2021101015,0.0014222222222222223,0.2777777777777778,0.03788888888888889,0.005311111111111111,21.444444444444443,8.222222222222221
2021101016,0.0014222222222222223,0.2888888888888889,0.03722222222222222,0.0052,23.77777777777778,7.666666666666667
2021101017,0.0015111111111111113,0.30000000000000004,0.037000000000000005,0.006200000000000001,24.444444444444443,8.333333333333334
2021101018,0.0018444444444444446,0.3111111111111111,0.034444444444444444,0.01018888888888889,25.555555555555557,8.222222222222221
2021101019,0.001388888888888889,0.3375,0.03166666666666666,0.0093,24.88888888888889,8.11111111111111
2021101020,0.0012777777777777779,0.3222222222222222,0.026555555555555554,0.010544444444444445,26.555555555555557,9.777777777777779
2021101021,0.0012777777777777779,0.3333333333333333,0.024666666666666667,0.010833333333333334,27.77777777777778,10.0
2021101022,0.0012777777777777779,0.3222222222222222,0.02366666666666667,0.010677777777777779,25.666666666666668,8.777777777777779
2021101023,0.0012777777777777779,0.3222222222222222,0.025444444444444443,0.008444444444444444,25.0,8.777777777777779
2021101024,0.0010555555555555555,0.2777777777777778,0.029444444444444447,0.005522222222222223,21.555555555555557,7.333333333333333
